"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,47286.0426134374,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",292.115675430049
"Citrus",1100,11929100.954375,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",73693.5719287758
"Citrus",1200,7053235.86935357,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",43572.2815035947
"Citrus",1800,127301,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",786.41847663
"Citrus",1820,344884,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",2130.56574492
"Citrus",1900,3407478.35681324,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",21050.1405214002
"Citrus",2100,4922594.790273,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",30409.9692542342
"Citrus",2200,4608,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",28.46651904
"Citrus",2400,73251.6672647485,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",452.521697244729
"Citrus",3200,584896.211321066,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",3613.27238194336
"Citrus",4100,15811647.9571017,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",97678.5107692303
"Citrus",4400,1826233.73234572,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",11281.7962919509
"Citrus",5200,1197543.72978852,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",7397.98207145345
"Citrus",5400,30369284.9336368,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",187610.205684583
"Citrus",6110,2488503.65574964,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",15373.0548388686
"Citrus",6120,4491995.0189985,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",27749.8831892157
"Citrus",6410,3929792.58607337,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",24276.8045735044
"Citrus",6420,780278.043460881,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",4820.26904962524
"Citrus",6425,496971.721832098,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",3070.10741794162
"Citrus",6510,220750.634005091,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",1363.71573914887
"Citrus",6600,695671.683310348,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",4297.6022609685
"Citrus",7100,678,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",4.18843314
"Citrus",9113,8728222.71180656,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",53919.7304711375
"Hernando",0,12869.0300884247,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",79.500106345155
"Hernando",1100,7193580.3981738,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",44439.2780751704
"Hernando",1200,9101867.85214827,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",56227.9718994667
"Hernando",1800,151569.839154121,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",936.34238545367
"Hernando",1820,350869,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",2167.53886047
"Hernando",1900,2705238.04140924,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",16711.959681751
"Hernando",2100,5428461.1683831,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",33535.0245676385
"Hernando",2200,48587.2958951592,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",300.154336740813
"Hernando",2400,172668.33273522,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",1066.68107235508
"Hernando",3200,616271.22253183,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",3807.09559244931
"Hernando",4100,12704067.2290321,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",78481.0268360855
"Hernando",4400,1909656.28227013,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",11797.1499390404
"Hernando",5200,522680.061298974,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",3228.92402708238
"Hernando",5400,21482404.2597432,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",132710.345027118
"Hernando",6110,3243988.25811222,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",20040.1591829618
"Hernando",6120,1834296.70933086,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",11331.6063804636
"Hernando",6410,1764177.81615132,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",10898.4378023909
"Hernando",6420,444269.250468231,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",2744.53104977006
"Hernando",6425,132801.67608426,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",820.39961822841
"Hernando",6510,49261.931908974,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",304.321988418835
"Hernando",6600,693436.066777133,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",4283.79144920442
"Hernando",7100,2195,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",13.55989785
"Hernando",9113,3544538.64931889,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",21896.8482961918
"Hernando",NA,6031.03194065392,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",37.2574838475419
"Hillsborough",0,34011.2801909316,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",210.109104845905
"Hillsborough",1100,10697266.3118827,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",66083.7532862759
"Hillsborough",1200,39973403.3772887,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",246940.89590564
"Hillsborough",1800,856840.229643321,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",5293.24190785147
"Hillsborough",1820,832269.640785998,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",5141.45390100881
"Hillsborough",1900,8990954.23969598,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",55542.7886397731
"Hillsborough",2100,14055408.214001,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",86829.1114450592
"Hillsborough",2200,310346.43378127,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",1917.20543972019
"Hillsborough",2400,707942.473557145,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",4373.40666292082
