"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,47591.0426134374,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",293.999852580049
"Citrus",1100,11929100.954375,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",73693.5719287758
"Citrus",1200,7053235.86935357,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",43572.2815035947
"Citrus",1800,127301,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",786.41847663
"Citrus",1820,344884,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",2130.56574492
"Citrus",1900,3407478.35681322,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",21050.1405214001
"Citrus",2100,4922594.790273,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",30409.9692542342
"Citrus",2200,4608,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",28.46651904
"Citrus",2400,73251.6672647485,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",452.521697244728
"Citrus",3200,584896.211321066,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",3613.27238194336
"Citrus",4100,15811647.9571016,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",97678.5107692297
"Citrus",4400,1826233.73234565,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",11281.7962919505
"Citrus",5200,1197543.72978917,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",7397.98207145746
"Citrus",5400,30369376.5449752,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",187610.771625535
"Citrus",6110,2488503.65574977,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",15373.0548388694
"Citrus",6120,3109857.69381532,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",19211.5501850443
"Citrus",6410,3929792.58607342,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",24276.8045735047
"Citrus",6420,383389.979230732,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",2368.44143739515
"Citrus",6425,371698.142440779,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",2296.21359568643
"Citrus",6510,284308.802550057,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",1756.35458789731
"Citrus",6600,695671.683310348,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",4297.6022609685
"Citrus",7100,678,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",4.18843314
"Citrus",9113,10568566.9007272,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",65288.6959429391
"Hernando",0,12915.0300884247,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",79.784277325155
"Hernando",1100,7193580.3981738,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",44439.2780751704
"Hernando",1200,9101867.85214821,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",56227.9718994663
"Hernando",1800,151569.839154121,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",936.34238545367
"Hernando",1820,350869,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",2167.53886047
"Hernando",1900,2705238.0414093,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",16711.9596817513
"Hernando",2100,5428461.16838315,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",33535.0245676388
"Hernando",2200,48587.2958951592,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",300.154336740813
"Hernando",2400,172668.332735222,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",1066.68107235509
"Hernando",3200,616271.222531831,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",3807.09559244931
"Hernando",4100,12704067.2290322,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",78481.0268360864
"Hernando",4400,1909656.28227015,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",11797.1499390405
"Hernando",5200,522680.061299114,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",3228.92402708325
"Hernando",5400,21482404.2597429,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",132710.345027116
"Hernando",6110,3243988.25811246,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",20040.1591829633
"Hernando",6120,1658639.34827733,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",10246.4601970985
"Hernando",6410,1764177.81615132,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",10898.4378023909
"Hernando",6420,285721.700596256,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",1765.08294925445
"Hernando",6425,105985.255474956,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",654.737693779754
"Hernando",6510,72685.763364676,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",449.025752334523
"Hernando",6600,693436.066777133,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",4283.79144920442
"Hernando",7100,2194,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",13.55372022
"Hernando",9113,3882091.14939804,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",23982.1227472558
"Hernando",NA,6031.03194065392,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",37.2574838475419
"Hillsborough",0,30486.9943065513,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",188.33737063798
"Hillsborough",1100,10697266.311883,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",66083.7532862778
