"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,49093.5620988365,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",303.281862028635
"Citrus",1100,11929100.954375,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",73693.5719287758
"Citrus",1200,7053235.86935357,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",43572.2815035947
"Citrus",1800,156956,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",969.61609428
"Citrus",1820,367630,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",2271.0821169
"Citrus",1900,3342295.73593625,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",20647.4664071919
"Citrus",2100,4936642.790273,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",30496.7526004742
"Citrus",2200,4608,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",28.46651904
"Citrus",2400,73351.6672647485,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",453.139460244729
"Citrus",3200,548220.211321066,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",3386.70162406336
"Citrus",4100,15430966.0978511,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",95326.7990950677
"Citrus",4400,1757796.73234572,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",10859.0178276409
"Citrus",5200,1183614.72340234,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",7311.93382373202
"Citrus",5400,31523424.9105014,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",194740.055429861
"Citrus",6110,2180635.98443217,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",13471.1622765077
"Citrus",6120,1328184.73846282,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",8205.03388587009
"Citrus",6410,3863886.61730626,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",23869.6618836697
"Citrus",6420,218898.216051221,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1352.2721864245
"Citrus",6425,93183.1325798258,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",575.650915319109
"Citrus",6510,116969.198624713,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",722.592430499988
"Citrus",6600,458038.785530029,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",2829.59414265387
"Citrus",7100,642,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",3.96603846
"Citrus",9113,12914835.3724133,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",79783.0744416813
"Hernando",0,12470.0300884247,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",77.035231975155
"Hernando",1100,7193580.3981738,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",44439.2780751704
"Hernando",1200,9101867.85214827,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",56227.9718994667
"Hernando",1800,157326.839154121,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",971.90700136367
"Hernando",1820,350869,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",2167.53886047
"Hernando",1900,2678541.09183489,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",16547.035805152
"Hernando",2100,5428461.1683831,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",33535.0245676385
"Hernando",2200,48587.2958951592,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",300.154336740813
"Hernando",2400,172668.33273522,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1066.68107235508
"Hernando",3200,612774.22253183,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",3785.49242033931
"Hernando",4100,12627645.3218954,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",78008.9205699006
"Hernando",4400,1907335.28227013,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",11782.8116598104
"Hernando",5200,516274.061298974,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",3189.35012930238
"Hernando",5400,22670479.2408168,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",140049.832672447
"Hernando",6110,2287478.33135611,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",14131.1947641355
"Hernando",6120,1426831.48882866,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",8814.43701033261
"Hernando",6410,1734801.78491846,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",10716.9635505658
"Hernando",6420,199401.255910649,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1231.8271805513
"Hernando",6425,27376.4393943548,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",169.121513295748
"Hernando",6510,31916.8118657321,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",197.170254486102
"Hernando",6600,524652.144967304,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",3241.10683031436
"Hernando",7100,1838,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",11.35448394
"Hernando",9113,4396578.97654815,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",27160.4381828932
"Hernando",NA,6031.03194065392,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",37.2574838475419
"Hillsborough",0,27401.5802802294,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",169.276824386554
"Hillsborough",1100,10697266.3118827,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",66083.7532862759
"Hillsborough",1200,39973403.3772887,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",246940.89590564
"Hillsborough",1800,901770.960436603,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",5570.80733832197
"Hillsborough",1820,856193.640785998,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",5289.24752112881
"Hillsborough",1900,8873724.46508885,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",54818.5864672668
"Hillsborough",2100,14090146.214001,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",87043.7099559992
"Hillsborough",2200,319937.43378127,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1976.45508905019
"Hillsborough",2400,711817.473557145,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",4397.34497917082
"Hillsborough",3200,2503005.09271699,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",15462.6393509213
"Hillsborough",4100,5934893.93175223,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",36663.5787996106
"Hillsborough",4400,1056108.26311554,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",6524.24608947046
"Hillsborough",5200,4116849.34693038,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",25432.3720310775
"Hillsborough",5400,27077621.6947649,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",167275.528110231
"Hillsborough",6110,12800783.4522332,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",79078.5038780196
"Hillsborough",6120,1044966.59151943,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",6455.41696476816
"Hillsborough",6410,4288956.47918363,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",26495.5862144992
"Hillsborough",6420,97900.1679531708,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",604.791014552547
"Hillsborough",6425,112866,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",697.24438758
"Hillsborough",6510,60577,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",374.22229251
"Hillsborough",6600,202565.258142903,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1251.37321566134
"Hillsborough",7100,1561,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",9.64328043
"Hillsborough",9113,1808025.38700747,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",11169.311871539
"Hillsborough",NA,3277.69710549712,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",20.2483999698322
"Manatee",0,18852.7772031575,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",116.465482033542
"Manatee",1100,4947509.78673338,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",30563.8848838177
"Manatee",1200,15596580.3637791,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",96349.9027526924
"Manatee",1800,544930.410417289,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",3366.37845130615
"Manatee",1820,643356,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",3974.41532628
"Manatee",1900,4508162.62800826,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",27849.7606956627
"Manatee",2100,19137292.6120244,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",118223.11295882
"Manatee",2200,1862240.91455738,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",11504.2353409971
"Manatee",2400,450221,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",2781.29875623
"Manatee",3200,7686937.64033496,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",47487.0565750625
"Manatee",4100,5914266.01199942,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",36536.147143708
"Manatee",4400,513131.306472683,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",3169.93535280484
"Manatee",5200,2563076.13693607,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",15833.7360358204
"Manatee",5400,22182483.9358016,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",137035.178236326
