"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,43745.9030659702,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",270.246003157429
"Citrus",1100,11929100.954375,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",73693.5719287758
"Citrus",1200,7053235.86935357,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",43572.2815035947
"Citrus",1800,156956,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",969.61609428
"Citrus",1820,367630,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",2271.0821169
"Citrus",1900,3487677.91663755,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",21545.5837281576
"Citrus",2100,4936642.790273,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",30496.7526004742
"Citrus",2200,4608,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",28.46651904
"Citrus",2400,73351.6672647485,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",453.139460244729
"Citrus",3200,616297.211321066,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",3807.25614157336
"Citrus",4100,16162854.5681234,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",99848.1352656763
"Citrus",4400,1898777.73234572,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",11729.9462826709
"Citrus",5200,1222063.30680377,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",7549.4549460102
"Citrus",5400,27463187.8402781,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",169657.413097737
"Citrus",6110,3710905.80870534,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",22924.6030510324
"Citrus",6120,1985966.20173322,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",12268.5643868132
"Citrus",6410,4042162.58607337,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",24970.9848566044
"Citrus",6420,4006559.51893288,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",24751.0422809453
"Citrus",6425,493471.080586274,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",3048.48175156218
"Citrus",6510,151710.329814872,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",937.210284774249
"Citrus",6600,1305716.91999267,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",8066.23601645429
"Citrus",7100,708,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",4.37376204
"Citrus",9113,8418881.09444279,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",52008.7324154626
"Hernando",0,12164.0300884247,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",75.144877195155
"Hernando",1100,7193580.3981738,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",44439.2780751704
"Hernando",1200,9101867.85214827,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",56227.9718994667
"Hernando",1800,157326.839154121,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",971.90700136367
"Hernando",1820,350869,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",2167.53886047
"Hernando",1900,2728769.04140924,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",16857.325493281
"Hernando",2100,5428461.1683831,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",33535.0245676385
"Hernando",2200,48587.2958951592,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",300.154336740813
"Hernando",2400,172668.33273522,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",1066.68107235508
"Hernando",3200,618896.22253183,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",3823.31187119931
"Hernando",4100,12764053.0615358,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",78851.5971145352
"Hernando",4400,1909694.28227013,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",11797.3846889804
"Hernando",5200,549756.061298974,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",3396.18953696238
"Hernando",5400,18662959.3566928,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",115292.857610686
"Hernando",6110,4879589.26422118,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",30144.2970263307
"Hernando",6120,990691.389464501,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",6120.12484829759
"Hernando",6410,1780677.81615132,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",11000.3686973909
"Hernando",6420,901834.502611727,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",5571.19987836928
"Hernando",6425,78416.1725888198,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",484.426100269871
"Hernando",6510,10383.1347005274,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",64.1431644200192
"Hernando",6600,663181.095997374,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",4096.88743406626
"Hernando",7100,2458,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",15.18461454
"Hernando",9113,5102871.05296326,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",31523.6493029174
"Hernando",NA,6031.03194065392,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",37.2574838475419
"Hillsborough",0,43780.4518584237,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",270.459432814154
"Hillsborough",1100,10697266.3118827,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",66083.7532862759
"Hillsborough",1200,39973403.3772887,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",246940.89590564
"Hillsborough",1800,901770.960436603,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",5570.80733832197
"Hillsborough",1820,856193.640785998,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",5289.24752112881
"Hillsborough",1900,9150995.82548008,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",56531.4663413605
"Hillsborough",2100,14090146.214001,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",87043.7099559992
"Hillsborough",2200,319937.43378127,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",1976.45508905019
"Hillsborough",2400,711817.473557145,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",4397.34497917082
"Hillsborough",3200,2563090.71774141,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",15833.8261106409
"Hillsborough",4100,6166364.26229233,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",38093.5168576649
"Hillsborough",4400,1063726.26311554,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",6571.30727481046
"Hillsborough",5200,4294064.34693038,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",26527.1407315275
"Hillsborough",5400,24584214.6581941,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",151872.181998899
"Hillsborough",6110,13008586.8730659,"tbcmp_PD_HA_IntLow_2080","PD","HA","IntLow","2080",80362.2365246584
