"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,47264.0426134374,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",291.979767570049
"Citrus",1100,11929100.954375,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",73693.5719287758
"Citrus",1200,7053235.86935357,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",43572.2815035947
"Citrus",1800,156956,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",969.61609428
"Citrus",1820,367630,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",2271.0821169
"Citrus",1900,3421679.39404953,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",21137.8692750622
"Citrus",2100,4936642.790273,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",30496.7526004742
"Citrus",2200,4608,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",28.46651904
"Citrus",2400,73351.6672647485,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",453.139460244728
"Citrus",3200,591526.211321066,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",3654.23006884336
"Citrus",4100,15877218.9571016,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",98083.5841459597
"Citrus",4400,1840917.73234565,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",11372.5086108705
"Citrus",5200,1201717.72978917,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",7423.76749907746
"Citrus",5400,30023364.2507069,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",185473.235696094
"Citrus",6110,2595041.29345957,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",16031.2049457146
"Citrus",6120,3125695.53049227,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",19309.390480035
"Citrus",6410,3942800.58607342,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",24357.1631845447
"Citrus",6420,439431.094751083,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",2714.64271386713
"Citrus",6425,361736.98822542,"tbcmp_PD_LA_IntHi_2080","PD","LA","IntHi","2080",2234.677270571
