"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,45560.8739911225,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",281.458221993778
"Citrus",1100,11929100.954375,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",73693.5719287758
"Citrus",1200,7053235.86935357,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",43572.2815035947
"Citrus",1800,156956,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",969.61609428
"Citrus",1820,367630,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",2271.0821169
"Citrus",1900,3472782.90112743,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",21453.5678334918
"Citrus",2100,4936642.790273,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",30496.7526004742
"Citrus",2200,4608,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",28.46651904
"Citrus",2400,73351.6672647485,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",453.139460244728
"Citrus",3200,611073.211321066,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",3774.98420245336
"Citrus",4100,16093757.9572561,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",99421.2819694838
"Citrus",4400,1887574.73234565,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",11660.7382937805
"Citrus",5200,1217250.74891842,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",7519.72474404089
"Citrus",5400,28206025.2272722,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",174246.387624754
"Citrus",6110,3328107.82487077,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",20559.8187421564
"Citrus",6120,3669519.20994446,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",22668.9319569292
"Citrus",6410,4008345.58607342,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",24762.0759428947
"Citrus",6420,2610600.65059179,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",16127.3248971154
"Citrus",6425,498971.616998617,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",3082.46203031916
"Citrus",6510,266221.640302892,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",1644.61879178435
"Citrus",6600,1051915.77015705,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",6498.34641919532
"Citrus",7100,697,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",4.30580811
"Citrus",9113,8042281.06768604,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",49682.2367921693
"Hernando",0,12565.0300884247,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",77.622106825155
"Hernando",1100,7193580.3981738,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",44439.2780751704
"Hernando",1200,9101867.85214821,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",56227.9718994663
"Hernando",1800,157326.839154121,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",971.90700136367
"Hernando",1820,350869,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",2167.53886047
"Hernando",1900,2723911.0414093,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",16827.3145667413
"Hernando",2100,5428461.16838315,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",33535.0245676388
"Hernando",2200,48587.2958951592,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",300.154336740813
"Hernando",2400,172668.332735222,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",1066.68107235509
"Hernando",3200,618405.222531831,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",3820.27865486931
"Hernando",4100,12753456.3032502,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",78786.1342626473
"Hernando",4400,1909694.28227015,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",11797.3846889805
"Hernando",5200,538495.061299114,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",3326.62324553325
"Hernando",5400,19181991.7544334,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",118499.24772194
"Hernando",6110,4543997.84309653,"tbcmp_PD_LA_IntLow_2100","PD","LA","IntLow","2100",28071.1373954484
