"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,47206.0426134374,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",291.621465030049
"Citrus",1100,11929100.954375,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",73693.5719287758
"Citrus",1200,7053235.86935357,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",43572.2815035947
"Citrus",1800,156956,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",969.61609428
"Citrus",1820,367630,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",2271.0821169
"Citrus",1900,3407478.35681322,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",21050.1405214001
"Citrus",2100,4936642.790273,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",30496.7526004742
"Citrus",2200,4608,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",28.46651904
"Citrus",2400,73351.6672647485,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",453.139460244728
"Citrus",3200,584896.211321066,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",3613.27238194336
"Citrus",4100,15811647.9571016,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",97678.5107692297
"Citrus",4400,1826233.73234565,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",11281.7962919505
"Citrus",5200,1197543.72978917,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",7397.98207145746
"Citrus",5400,30369374.5449752,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",187610.759270275
"Citrus",6110,2488503.65574977,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",15373.0548388694
"Citrus",6120,3097366.69381532,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",19134.3854087143
"Citrus",6410,3929792.58607342,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",24276.8045735047
"Citrus",6420,376756.979230732,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",2327.46521760515
"Citrus",6425,363572.142440779,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",2246.01417430643
"Citrus",6510,278565.802550057,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",1720.87645880731
"Citrus",6600,674448.683310348,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",4166.4944194785
"Citrus",7100,678,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",4.18843314
"Citrus",9113,10556620.9007272,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",65214.8979749591
"Hernando",0,12827.0300884247,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",79.240645885155
"Hernando",1100,7193580.3981738,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",44439.2780751704
"Hernando",1200,9101867.85214821,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",56227.9718994663
"Hernando",1800,157326.839154121,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",971.90700136367
"Hernando",1820,350869,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",2167.53886047
"Hernando",1900,2705238.0414093,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",16711.9596817513
"Hernando",2100,5428461.16838315,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",33535.0245676388
"Hernando",2200,48587.2958951592,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",300.154336740813
"Hernando",2400,172668.332735222,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",1066.68107235509
"Hernando",3200,616271.222531831,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",3807.09559244931
"Hernando",4100,12704067.2290322,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",78481.0268360864
"Hernando",4400,1909656.28227015,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",11797.1499390405
"Hernando",5200,522680.061299114,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",3228.92402708325
"Hernando",5400,21482404.2597429,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",132710.345027116
"Hernando",6110,3243988.25811246,"tbcmp_PD_LA_Inter_2100","PD","LA","Inter","2100",20040.1591829633
