"Value","ClassName"
1100,"Upland Developed - Hard"
1200,"Upland Developed - Hard"
1800,"Upland Developed - Soft"
1820,"Upland Developed - Soft"
1900,"Upland Undeveloped"
2100,"Upland Developed - Soft"
2200,"Upland Developed - Soft"
2400,"Upland Developed - Soft"
3200,"Upland Undeveloped"
4100,"Upland Undeveloped"
4400,"Upland Undeveloped"
5200,"Open Freshwater"
5400,"Open Water"
6110,"Freshwater Marsh & Wetlands"
6120,"Mangroves"
6410,"Freshwater Marsh & Wetlands"
6420,"High Salt Marsh"
6425,"Juncus Marsh"
6510,"Subtidal - Tidal Flat"
6600,"Salt Barren"
7100,"Beach - Dune"
9113,"Subtidal - Seagrass"
