"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,17685,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",17.48024307
"Citrus",1100,74552252.4725559,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",73689.0864934286
"Citrus",1200,44069252.182569,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",43559.0183807992
"Citrus",1800,890905,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",880.59010191
"Citrus",1820,2278577,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",2252.195635494
"Citrus",1900,21798334.4391338,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",21545.9533229975
"Citrus",2100,30848751.7562972,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",30491.5849084628
"Citrus",2200,28932,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",28.597025304
"Citrus",2400,457633.144609444,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",452.334668061156
"Citrus",3200,3851348.28719783,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",3806.75737672866
"Citrus",4100,101016718.928236,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",99847.1473564847
"Citrus",4400,11868241.3867781,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",11730.830888002
"Citrus",5200,7638311.16643732,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",7549.87479975231
"Citrus",5400,171859659.422535,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",169869.868285741
"Citrus",6110,23190341.9013595,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",22921.8441228256
"Citrus",6120,13238513.7632148,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",13085.2382508643
"Citrus",6410,25263313.1278452,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",24970.814488451
"Citrus",6420,25019735.0291707,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",24730.0565370029
"Citrus",6425,3089619.73585505,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",3053.84811855332
"Citrus",6510,951438.969585231,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",940.423209195373
"Citrus",6600,8231799.28380207,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",8136.49151169421
"Citrus",7100,4497,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",4.444933734
"Citrus",9113,51910458.4281834,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",51309.4391405019
"Hernando",0,15180,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",15.00424596
"Hernando",1100,44955001.8878502,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",44434.5128759927
"Hernando",1200,56864112.5125126,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",56205.7398178427
"Hernando",1800,971042.810010563,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",959.80007635626
"Hernando",1820,2193723,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",2168.324075106
"Hernando",1900,17056246.4484964,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",16858.7692271157
"Hernando",2100,33927243.134946,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",33534.4335139296
"Hernando",2200,303298.229326285,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",299.786642427146
"Hernando",2400,1078383.85539069,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",1065.89832711297
"Hernando",3200,3868414.66466464,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",3823.62615967715
"Hernando",4100,79779380.4906298,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",78855.6948233093
"Hernando",4400,11936005.265381,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",11797.8101964184
"Hernando",5200,3435507.31704444,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",3395.7310133277
"Hernando",5400,116760662.464314,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",115408.807514302
"Hernando",6110,30497334.9301235,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",30144.2367863025
"Hernando",6120,6409262.48231389,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",6335.05604129366
"Hernando",6410,11130809.873831,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",11001.9373571118
"Hernando",6420,5613250.02640611,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",5548.25981760038
"Hernando",6425,492558.130788211,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",486.855292749945
"Hernando",6510,66557.6681058265,"tbcmp_AM_HA_IntLow_2080","AM","HA","IntLow","2080",65.7870634244972
