"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,43774,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",43.267184628
"Citrus",1100,74552252.4725559,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",73689.0864934286
"Citrus",1200,44069252.182569,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",43559.0183807992
"Citrus",1800,928317,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",917.568945774
"Citrus",1820,2290622,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2264.101178484
"Citrus",1900,21886916.7717714,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",21633.5100493879
"Citrus",2100,30852185.7562972,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",30494.9791496108
"Citrus",2200,28932,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",28.597025304
"Citrus",2400,457637.144609444,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",452.338621749156
"Citrus",3200,3875415.28719783,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",3830.54572900266
"Citrus",4100,101432928.928236,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",100258.538477105
"Citrus",4400,11934820.3867781,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",11796.63903634
"Citrus",5200,7667720.42704533,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",7578.943559941
"Citrus",5400,166905866.326961,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",164973.430206627
"Citrus",6110,26965375.7228554,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",26653.1706027362
"Citrus",6120,15147785.9562037,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",14972.4048904028
"Citrus",6410,25802761.1278452,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",25504.016759507
"Citrus",6420,24844208.0492059,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",24556.5618084122
"Citrus",6425,2391384.99779611,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2363.69754229162
"Citrus",6510,335737.312059011,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",331.850145459992
"Citrus",6600,8737686.35489083,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",8636.5214222739
"Citrus",7100,4872,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",4.815591984
"Citrus",9113,50919867.2204885,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",50330.3169978097
"Hernando",0,46967,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",46.423216074
"Hernando",1100,44955001.8878502,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",44434.5128759927
"Hernando",1200,56864112.5125126,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",56205.7398178427
"Hernando",1800,975688.810010563,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",964.39228496826
"Hernando",1820,2193723,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2168.324075106
"Hernando",1900,17087033.4484964,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",16889.1997752297
"Hernando",2100,33927243.134946,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",33534.4335139296
"Hernando",2200,303298.229326285,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",299.786642427146
"Hernando",2400,1078383.85539069,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1065.89832711297
"Hernando",3200,3869121.66466464,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",3824.32497403115
"Hernando",4100,79854683.2492266,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",78930.1257265671
"Hernando",4400,11936005.265381,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",11797.8101964184
"Hernando",5200,3527669.31704444,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",3486.8259616917
"Hernando",5400,112771208.812895,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",111465.543757259
"Hernando",6110,33124284.2619059,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",32740.7712987216
"Hernando",6120,5505272.17705834,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",5441.53213579235
"Hernando",6410,11176467.873831,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",11047.0667287878
"Hernando",6420,5262639.90105147,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",5201.7090562771
"Hernando",6425,287379.51073379,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",284.052230758514
"Hernando",6510,29862.7682415806,"tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",29.5170171108796
