"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,2323,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",2.296104306
"Citrus",1100,74552252.4725559,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",73689.0864934286
"Citrus",1200,44069252.182569,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",43559.0183807992
"Citrus",1800,795732,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",786.519014904
"Citrus",1820,2154916,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",2129.966382552
"Citrus",1900,21296885.5459487,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",21050.3102050977
"Citrus",2100,30768401.7562972,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",30412.1652007627
"Citrus",2200,28932,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",28.597025304
"Citrus",2400,457012.144609444,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",451.720857999156
"Citrus",3200,3655822.28719783,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",3613.49517675666
"Citrus",4100,98821959.9282358,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",97677.7992761867
"Citrus",4400,11414222.3867781,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",11282.068519984
"Citrus",5200,7485808.22217392,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",7399.13753457759
"Citrus",5400,190022295.408731,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",187822.217272488
"Citrus",6110,15551429.6796871,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",15371.3752268557
"Citrus",6120,19456736.0634986,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",19231.4659733554
"Citrus",6410,24561979.1278452,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",24277.600533503
"Citrus",6420,2389106.79400597,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",2361.44571554497
"Citrus",6425,2321367.41062094,"tbcmp_AM_LA_Inter_2100","AM","LA","Inter","2100",2294.49061874078
