"id","value","count","acres","land_policy","accretion","slr_scenario","yr"
"Citrus",1100,74552252.4725577,73689.0864934304,"baseline","baseline","baseline",2025
"Citrus",1200,44069252.1825696,43559.0183807998,"baseline","baseline","baseline",2025
"Citrus",1800,979179,967.842065538,"baseline","baseline","baseline",2025
"Citrus",1820,2297392,2270.792795424,"baseline","baseline","baseline",2025
"Citrus",1900,22097252.7531232,21841.4107607476,"baseline","baseline","baseline",2025
"Citrus",2100,30855930.7563004,30498.680790004,"baseline","baseline","baseline",2025
"Citrus",2200,28932,28.597025304,"baseline","baseline","baseline",2025
"Citrus",2400,457637.144609444,452.338621749156,"baseline","baseline","baseline",2025
"Citrus",3200,3886985.28719817,3841.98177154299,"baseline","baseline","baseline",2025
"Citrus",4100,101997513.467217,100816.586256293,"baseline","baseline","baseline",2025
"Citrus",4400,12022231.3867797,11883.0379917836,"baseline","baseline","baseline",2025
"Citrus",5200,7945131.44364467,7853.14271179016,"baseline","baseline","baseline",2025
"Citrus",5400,67853452.0371851,67067.8447694985,"baseline","baseline","baseline",2025
"Citrus",6110,41122464.9674774,40646.349068084,"baseline","baseline","baseline",2025
"Citrus",6120,27195,26.88013629,"baseline","baseline","baseline",2025
"Citrus",6410,26910929.1278452,26599.354390403,"baseline","baseline","baseline",2025
"Citrus",6420,28833904.6582336,28500.0657101006,"baseline","baseline","baseline",2025
"Citrus",6510,6936734.29819182,6856.42078848736,"baseline","baseline","baseline",2025
"Citrus",6600,14950,14.7769089,"baseline","baseline","baseline",2025
"Citrus",7100,4953,4.895654166,"baseline","baseline","baseline",2025
"Citrus",9113,149182046.442422,147454.816708711,"baseline","baseline","baseline",2025
"Hernando",1100,44955001.887852,44434.5128759945,"baseline","baseline","baseline",2025
"Hernando",1200,56864112.5125195,56205.7398178495,"baseline","baseline","baseline",2025
"Hernando",1800,983134.81001071,971.752075180406,"baseline","baseline","baseline",2025
"Hernando",1820,2193723,2168.324075106,"baseline","baseline","baseline",2025
"Hernando",1900,17115906.4484972,16917.7384836365,"baseline","baseline","baseline",2025
"Hernando",2100,33927243.1349514,33534.4335139349,"baseline","baseline","baseline",2025
"Hernando",2200,303298.22932639,299.786642427249,"baseline","baseline","baseline",2025
"Hernando",2400,1078383.85539069,1065.89832711297,"baseline","baseline","baseline",2025
"Hernando",3200,3869144.66466477,3824.34770773728,"baseline","baseline","baseline",2025
"Hernando",4100,79938907.5681778,79013.3748963534,"baseline","baseline","baseline",2025
"Hernando",4400,11936005.26538,11797.8101964175,"baseline","baseline","baseline",2025
"Hernando",5200,3730625.31704336,3687.43213712263,"baseline","baseline","baseline",2025
"Hernando",5400,2596130.05458934,2566.0720608173,"baseline","baseline","baseline",2025
"Hernando",6110,37310852.5063812,36878.8674560623,"baseline","baseline","baseline",2025
"Hernando",6120,101530,100.35448566,"baseline","baseline","baseline",2025
"Hernando",6410,11241538.8738302,11111.384336749,"baseline","baseline","baseline",2025
"Hernando",6420,9143529.28702127,9037.66550493614,"baseline","baseline","baseline",2025
"Hernando",6510,1890971.93729858,1869.07826420853,"baseline","baseline","baseline",2025
"Hernando",6600,157334,155.512386948,"baseline","baseline","baseline",2025
"Hernando",7100,15224,15.047736528,"baseline","baseline","baseline",2025
"Hernando",9113,143871205.88722,142205.465065458,"baseline","baseline","baseline",2025
"Hillsborough",1100,66852064.2169393,66078.0510174356,"baseline","baseline","baseline",2025
"Hillsborough",1200,249766358.447202,246874.5635491,"baseline","baseline","baseline",2025
"Hillsborough",1800,5632326.2459668,5567.115172691,"baseline","baseline","baseline",2025
"Hillsborough",1820,5351814.3004188,5289.85099444855,"baseline","baseline","baseline",2025
"Hillsborough",1900,57864787.2010321,57194.8286948186,"baseline","baseline","baseline",2025
"Hillsborough",2100,88070192.424189,87050.5157363017,"baseline","baseline","baseline",2025
"Hillsborough",2200,1997642.07777043,1974.513377794,"baseline","baseline","baseline",2025
"Hillsborough",2400,4448305.87080975,4396.80338543751,"baseline","baseline","baseline",2025
