"ID","censusTract","count"
"1","12005002704",1
"2","12011010503",1
"3","12011100202",1
"4","12011100802",1
"5","12017450102",2
"6","12017450106",1
"7","12017450303",6
"8","12017450305",22
"9","12017450400",4
"10","12017450401",1
"11","12017450402",5
"12","12017450500",187
"13","12017450501",292
"14","12017450502",282
"15","12017450602",5
"16","12017450800",6
"17","12017450901",2
"18","12017451000",1
"19","12017451002",1
"20","12017451400",1
"21","12017451502",2
"22","12017451700",54
"23","12017451701",196
"24","12017451702",26
"25","12027010406",1
"26","12053040101",13
"27","12053040102",17
"28","12053040201",1
"29","12053040202",5
"30","12053040302",3
"31","12053040400",2
"32","12053040501",1
"33","12053040502",1
"34","12053040601",1
"35","12053040602",2
"36","12053041204",1
"37","12053041501",190
"38","12053041502",7
"39","12053041600",39
"40","12053041601",1
"41","12053041602",107
"42","12057000202",6
"43","12057000300",1
"44","12057000401",2
"45","12057000402",1
"46","12057000602",1
"47","12057000902",1
"48","12057001100",2
"49","12057001200",3
"50","12057001300",1
"51","12057001400",1
"52","12057001500",6
"53","12057002300",1
"54","12057002400",5
"55","12057002500",1
"56","12057002600",3
"57","12057002700",3
"58","12057002701",10
"59","12057002900",1
"60","12057003800",1
"61","12057003900",1
"62","12057004200",3
"63","12057004500",1
"64","12057004602",2
"65","12057004800",2
"66","12057005101",1
"67","12057005102",1
"68","12057005301",2
"69","12057005302",18
"70","12057005401",30
"71","12057005700",9
"72","12057005800",18
"73","12057005900",83
"74","12057006000",12
"75","12057006101",8
"76","12057006103",2
"77","12057006200",4
"78","12057006300",8
"79","12057006400",134
"80","12057006501",12
"81","12057006502",1
"82","12057006503",2
"83","12057006504",1
"84","12057006600",28
"85","12057006700",19
"86","12057006801",1
"87","12057006802",15
"88","12057006900",12
"89","12057007001",1
"90","12057007002",1
"91","12057007103",7
"92","12057007200",25
"93","12057010105",3
"94","12057010107",1
"95","12057010213",1
"96","12057010305",1
"97","12057010600",1
"98","12057010701",1
"99","12057010809",1
"100","12057010811",1
"101","12057010817",1
"102","12057011003",1
"103","12057011006",1
"104","12057011018",1
"105","12057011103",1
"106","12057011107",2
"107","12057011109",2
"108","12057011204",3
"109","12057011206",3
"110","12057011301",1
"111","12057011409",3
"112","12057011410",5
"113","12057011411",1
"114","12057011413",2
"115","12057011414",1
"116","12057011418",1
"117","12057011504",2
"118","12057011510",1
"119","12057011515",25
"120","12057011516",3
"121","12057011518",2
"122","12057011519",1
"123","12057011523",1
"124","12057011605",26
"125","12057011606",3
"126","12057011612",5
"127","12057011613",14
"128","12057011615",2
"129","12057011617",7
"130","12057011708",3
"131","12057011709",1
"132","12057011710",11
"133","12057011712",22
"134","12057011713",1
"135","12057011714",13
"136","12057011715",10
"137","12057011716",2
"138","12057011802",2
"139","12057011804",1
"140","12057011909",1
"141","12057012002",1
"142","12057012209",4
"143","12057012212",1
"144","12057012213",1
"145","12057012301",1
"146","12057012402",1
"147","12057012403",2
"148","12057012600",4
"149","12057012800",1
"150","12057013002",2
"151","12057013003",1
"152","12057013004",1
"153","12057013207",2
"154","12057013208",1
"155","12057013313",1
"156","12057013407",7
"157","12057013409",21
"158","12057013411",1
"159","12057013412",11
"160","12057013413",4
"161","12057013414",1
"162","12057013415",1
"163","12057013501",16
"164","12057013504",1
