"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,50010.9030659702,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",308.948855107429
"Citrus",1100,11929100.954375,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",73693.5719287758
"Citrus",1200,7053235.86935357,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",43572.2815035947
"Citrus",1800,149484,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",923.45684292
"Citrus",1820,366762,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",2265.71993406
"Citrus",1900,3504791.07761196,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",21651.302504788
"Citrus",2100,4936174.790273,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",30493.8614696342
"Citrus",2200,4608,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",28.46651904
"Citrus",2400,73351.6672647485,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",453.139460244729
"Citrus",3200,620750.211321066,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",3834.76512796336
"Citrus",4100,16242169.5681234,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",100338.113989126
"Citrus",4400,1911950.73234572,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",11811.3242026609
"Citrus",5200,1228068.73092109,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",7586.55423420008
"Citrus",5400,26477205.4020261,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",163566.378407719
"Citrus",6110,4490102.91584591,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",27738.1944760171
"Citrus",6120,1275147.0576541,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",7877.38671777568
"Citrus",6410,4157778.58607337,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",25685.2177266844
"Citrus",6420,4139457.79709428,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",25572.0386710635
"Citrus",6425,316385.589965385,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",1954.51311213786
"Citrus",6510,34936.8127394058,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",215.826702483335
"Citrus",6600,1359797.93992676,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",8400.32854762976
"Citrus",7100,787,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",4.86179481
"Citrus",9113,9210153.69414245,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",56896.9217655452
"Hernando",0,13106.0300884247,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",80.964204655155
"Hernando",1100,7193580.3981738,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",44439.2780751704
"Hernando",1200,9101867.85214827,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",56227.9718994667
"Hernando",1800,156273.839154121,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",965.40195697367
"Hernando",1820,350869,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",2167.53886047
"Hernando",1900,2734690.04140924,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",16893.903240511
"Hernando",2100,5428461.1683831,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",33535.0245676385
"Hernando",2200,48587.2958951592,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",300.154336740813
"Hernando",2400,172668.33273522,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",1066.68107235508
"Hernando",3200,619008.22253183,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",3824.00376575931
"Hernando",4100,12778231.8488663,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",78939.1884165118
"Hernando",4400,1909694.28227013,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",11797.3846889804
"Hernando",5200,569944.061298974,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",3520.90353140238
"Hernando",5400,17868832.0458334,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",110387.032911302
"Hernando",6110,5395171.43390229,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",33329.3729052178
"Hernando",6120,726376.230998214,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",4487.2835959015
"Hernando",6410,1789499.81615132,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",11054.8677492509
"Hernando",6420,886705.92748432,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",5477.74113880496
"Hernando",6425,34318.1701346451,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",212.004957368887
"Hernando",6510,2363.8321139589,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",14.6028801821559
"Hernando",6600,490412.953825466,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",3029.58977594082
"Hernando",7100,2499,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",15.43789737
"Hernando",9113,5836593.58761732,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",36056.3156446724
"Hernando",NA,6031.03194065392,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",37.2574838475419
"Hillsborough",0,54279.4374979679,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",335.318281470571
"Hillsborough",1100,10697266.3118827,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",66083.7532862759
"Hillsborough",1200,39973403.3772887,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",246940.89590564
"Hillsborough",1800,890013.755946902,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",5498.17567915026
"Hillsborough",1820,854042.640785998,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",5275.95943899881
"Hillsborough",1900,9193393.82548008,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",56793.3854981005
"Hillsborough",2100,14085891.214001,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",87017.4241403492
"Hillsborough",2200,319830.43378127,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",1975.79408264019
"Hillsborough",2400,711809.473557145,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",4397.29555813083
"Hillsborough",3200,2571479.52872974,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",15885.6490810667
"Hillsborough",4100,6216626.46449143,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",38404.0181458362
"Hillsborough",4400,1064487.26311554,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",6576.00845124046
"Hillsborough",5200,4345323.34693038,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",26843.7998676975
"Hillsborough",5400,24367940.0438361,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",150536.117453003
"Hillsborough",6110,13072057.2409078,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",80754.3329731495
"Hillsborough",6120,1107283.08800291,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",6840.38522293939
"Hillsborough",6410,4404604.47918363,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",27210.0167687392
"Hillsborough",6420,443224.453359356,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",2738.07667980636
"Hillsborough",6425,184875,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",1142.08934625
"Hillsborough",6510,24292,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",150.06698796
"Hillsborough",6600,215807.535365923,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",1333.17910470259
"Hillsborough",7100,2601,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",16.06801563
"Hillsborough",9113,2757809.20827786,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",17036.7248993335
"Hillsborough",NA,3277.69710549712,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",20.2483999698322
"Manatee",0,33678.3718611784,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",208.052520360772
"Manatee",1100,4947509.78673338,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",30563.8848838177
"Manatee",1200,15596580.3637791,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",96349.9027526924
"Manatee",1800,518253.155788213,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",3201.57624279194
"Manatee",1820,641309,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",3961.76971767
"Manatee",1900,4643114.71379086,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",28683.4447493558
"Manatee",2100,19127971.6120244,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",118165.53126959
"Manatee",2200,1861088.91455738,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",11497.1187112371
"Manatee",2400,438695,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",2710.09539285
"Manatee",3200,7733145.64033496,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",47772.5125021025
"Manatee",4100,6003101.01199942,"tbcmp_AM_HA_IntLow_2050","AM","HA","IntLow","2050",37084.936904758
