"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,2323,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",2.296104306
"Citrus",1100,74552252.4725559,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",73689.0864934286
"Citrus",1200,44069252.182569,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",43559.0183807992
"Citrus",1800,795732,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",786.519014904
"Citrus",1820,2154916,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",2129.966382552
"Citrus",1900,21296885.5459487,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",21050.3102050977
"Citrus",2100,30768401.7562972,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",30412.1652007627
"Citrus",2200,28932,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",28.597025304
"Citrus",2400,457012.144609444,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",451.720857999156
"Citrus",3200,3655822.28719783,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",3613.49517675666
"Citrus",4100,98821959.9282358,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",97677.7992761867
"Citrus",4400,11414222.3867781,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",11282.068519984
"Citrus",5200,7485808.22217392,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",7399.13753457759
"Citrus",5400,190021765.266416,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",187821.693268161
"Citrus",6110,15551429.6796871,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",15371.3752268557
"Citrus",6120,28143945.5018702,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",27818.0949008496
"Citrus",6410,24561979.1278452,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",24277.600533503
"Citrus",6420,4850343.00253783,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",4794.18573125445
"Citrus",6425,3119143.56778194,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",3083.03012355416
"Citrus",6510,1384732.71420678,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",1368.70027884169
"Citrus",6600,4345428.30087305,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",4295.11693200554
"Citrus",7100,4337,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",4.286786214
"Citrus",9113,54589695.3377818,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",53957.655845161
"Hernando",0,148,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",0.146286456
"Hernando",1100,44955001.8878502,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",44434.5128759927
"Hernando",1200,56864112.5125126,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",56205.7398178427
"Hernando",1800,947283.810010563,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",936.31615805826
"Hernando",1820,2193723,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",2168.324075106
"Hernando",1900,16909291.4484964,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",16713.5156721057
"Hernando",2100,33927243.134946,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",33534.4335139296
"Hernando",2200,303298.229326285,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",299.786642427146
"Hernando",2400,1078383.85539069,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",1065.89832711297
"Hernando",3200,3852111.66466464,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",3807.51191581115
"Hernando",4100,79404354.7724037,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",78485.0111528488
"Hernando",4400,11935777.265381,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",11797.5848362024
"Hernando",5200,3266556.31704444,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",3228.7361280057
"Hernando",5400,134382197.26372,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",132826.3201838
"Hernando",6110,20275335.1178092,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",20040.5872878152
"Hernando",6120,11465592.69045,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",11332.84405828
"Hernando",6410,11027498.873831,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",10899.8224918698
"Hernando",6420,2774171.67425858,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",2742.05231461401
"Hernando",6425,831951.038466806,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",822.318709343437
"Hernando",6510,308119.512917476,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",304.552105196918
"Hernando",6600,4332323.6569251,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",4282.16401362522
"Hernando",7100,13552,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",13.395094944
"Hernando",9113,22175775.5137541,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",21919.0243848559
"Hillsborough",0,28340,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",28.01187948
"Hillsborough",1100,66852064.2169416,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",66078.0510174378
"Hillsborough",1200,249766357.447206,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",246874.562560683
"Hillsborough",1800,5353270.14534127,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",5291.28998359851
"Hillsborough",1820,5202220.30041877,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",5141.98899378052
"Hillsborough",1900,56194464.7347239,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",55543.8452220253
"Hillsborough",2100,87853315.4241871,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",86836.1497382059
"Hillsborough",2200,1937720.07777043,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",1915.28515471
"Hillsborough",2400,4424173.87080978,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",4372.95078573355
"Hillsborough",3200,15838366.423969,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",15654.9898175123
"Hillsborough",4100,37541621.6380619,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",37106.9647427364
"Hillsborough",4400,6624541.00506067,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",6547.84206930408
"Hillsborough",5200,26001756.793712,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",25700.7084535544
"Hillsborough",5400,161365559.764127,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",159497.269313178
"Hillsborough",6110,80474850.8669784,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",79543.1130436405
"Hillsborough",6120,9477928.80537968,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",9368.193345671
"Hillsborough",6410,26990974.6681949,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",26678.4731634865
"Hillsborough",6420,1440021.25624816,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",1423.34869014332
"Hillsborough",6425,1801247,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",1780.392162234
"Hillsborough",6510,393128,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",388.576364016
"Hillsborough",6600,1729720.01539652,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",1709.69331705826
"Hillsborough",7100,11463,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",11.330281386
"Hillsborough",9113,12457052.8347969,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",12312.8250770756
"Manatee",0,15100,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",14.9251722
"Manatee",1100,30919362.6733613,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",30561.3782923292
"Manatee",1200,97418948.3342004,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",96291.031750387
"Manatee",1800,2808076.14647848,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",2775.56424085455
"Manatee",1820,3905668,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",3860.448175896
"Manatee",1900,28436706.0710992,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",28107.465888208
"Manatee",2100,119143504.10768,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",117764.060617122
"Manatee",2200,11623443.0093743,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",11488.8667862117
"Manatee",2400,2430401,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",2402.261817222
"Manatee",3200,48081813.2728886,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",47525.1220388151
"Manatee",4100,37155294.1253543,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",36725.1101299709
"Manatee",4400,3206983.49775432,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",3169.85304281732
"Manatee",5200,16221342.4476192,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",16033.5317447607
"Manatee",5400,131959061.859325,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",130431.239841118
"Manatee",6110,37011379.7974926,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",36582.8620421972
"Manatee",6120,6139568.88490824,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",6068.48495635877
"Manatee",6410,32721466.7215136,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",32342.6175798119
"Manatee",6420,567442.994306451,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",560.873139318371
"Manatee",6425,1545574,"tbcmp_AM_HA_Inter_2100","AM","HA","Inter","2100",1527.679344228
