"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,55713,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",55.067954886
"Citrus",1100,74552252.4725559,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",73689.0864934286
"Citrus",1200,44069252.182569,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",43559.0183807992
"Citrus",1800,933866,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",923.053699452
"Citrus",1820,2291991,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",2265.454328202
"Citrus",1900,21905579.68053,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",21651.9568789889
"Citrus",2100,30852966.7562972,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",30495.7511071928
"Citrus",2200,28932,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",28.597025304
"Citrus",2400,457637.144609444,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",452.338621749156
"Citrus",3200,3878907.28719783,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",3833.99729862666
"Citrus",4100,101512277.928236,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",100336.968774383
"Citrus",4400,11950477.3867781,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",11812.114759594
"Citrus",5200,7674281.47592833,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",7585.42864500003
"Citrus",5400,165711071.398081,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",163792.468613434
"Citrus",6110,28064266.1284993,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",27739.3380552636
"Citrus",6120,18151740.4833729,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",17941.5796320564
"Citrus",6410,25986727.1278452,"tbcmp_AM_LA_IntLow_2050","AM","LA","IntLow","2050",25685.852801159
