"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,46554.8739911225,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",287.598786213778
"Citrus",1100,11929100.954375,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",73693.5719287758
"Citrus",1200,7053235.86935357,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",43572.2815035947
"Citrus",1800,134409,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",830.32907067
"Citrus",1820,359826,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",2222.87189238
"Citrus",1900,3463427.90112743,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",21395.7761048418
"Citrus",2100,4932456.790273,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",30470.8930412942
"Citrus",2200,4608,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",28.46651904
"Citrus",2400,73344.6672647485,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",453.096216834728
"Citrus",3200,608108.211321066,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",3756.66752950336
"Citrus",4100,16057687.9572561,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",99198.4548553838
"Citrus",4400,1881248.73234565,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",11621.6586064005
"Citrus",5200,1214489.74891842,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",7502.66830761089
"Citrus",5400,28545994.0405467,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",176346.589164702
"Citrus",6110,3140688.05144209,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",19402.0087272302
"Citrus",6120,4560131.72328454,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",28170.8065377143
"Citrus",6410,3994634.58607342,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",24677.3744579647
"Citrus",6420,1298650.05611632,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",8022.57954616588
"Citrus",6425,640128.278337112,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",3954.47565610369
"Citrus",6510,290032.643414207,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",1791.71435893491
"Citrus",6600,982056.136809305,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",6066.77945243727
"Citrus",7100,694,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",4.28727522
"Citrus",9113,8320703.07787356,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",51402.224954964
"Hernando",0,12947.0300884247,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",79.981961485155
"Hernando",1100,7193580.3981738,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",44439.2780751704
"Hernando",1200,9101867.85214821,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",56227.9718994663
"Hernando",1800,153994.839154121,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",951.32313820367
"Hernando",1820,350869,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",2167.53886047
"Hernando",1900,2720716.0414093,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",16807.5770388913
"Hernando",2100,5428461.16838315,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",33535.0245676388
"Hernando",2200,48587.2958951592,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",300.154336740813
"Hernando",2400,172668.332735222,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",1066.68107235509
"Hernando",3200,617969.222531831,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",3817.58520818931
"Hernando",4100,12747544.8383143,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",78749.6154195157
"Hernando",4400,1909694.28227015,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",11797.3846889805
"Hernando",5200,534489.061299114,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",3301.87565975325
"Hernando",5400,19466578.8302203,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",120257.321378934
"Hernando",6110,4320396.09377991,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",26689.8085208176
"Hernando",6120,1350309.54358296,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",8341.71274572438
"Hernando",6410,1770340.81615132,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",10936.5105360809
"Hernando",6420,557779.056539068,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",3445.75263304744
"Hernando",6425,124068.056569215,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",766.446548303679
"Hernando",6510,48421.2330119987,"tbcmp_AM_LA_Inter_2080","AM","LA","Inter","2080",299.128461691914
