"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,49093.5620988365,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",48.5251568368562
"Citrus",1100,11929100.954375,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",11790.9858235253
"Citrus",1200,7053235.86935357,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",6971.5735044582
"Citrus",1800,156956,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",155.138763432
"Citrus",1820,367630,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",363.37357986
"Citrus",1900,3342295.73593625,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",3303.59863590558
"Citrus",2100,4936642.790273,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",4879.48634004722
"Citrus",2200,4608,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",4.554648576
"Citrus",2400,73351.6672647485,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",72.5024016611573
"Citrus",3200,548220.211321066,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",541.872917714391
"Citrus",4100,15430966.0978511,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",15252.3063723701
"Citrus",4400,1757796.73234572,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1737.44496177862
"Citrus",5200,1183614.72340234,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1169.91083213479
"Citrus",5400,31523424.9105014,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",31158.4466968876
"Citrus",6110,2180635.98443217,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",2155.38858100442
"Citrus",6120,1328184.73846282,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1312.8070155609
"Citrus",6410,3863886.61730626,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",3819.15053805109
"Citrus",6420,218898.216051221,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",216.36381250578
"Citrus",6425,93183.1325798258,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",92.1042582708166
"Citrus",6510,116969.198624713,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",115.614929243036
"Citrus",6600,458038.785530029,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",452.735612471162
"Citrus",7100,642,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",0.634566924
"Citrus",9113,12914835.3724133,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",12765.3074084715
"Hernando",0,12470.0300884247,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",12.3256520800609
"Hernando",1100,7193580.3981738,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",7110.29312432375
"Hernando",1200,9101867.85214827,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",8996.4864261561
"Hernando",1800,157326.839154121,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",155.505309010394
"Hernando",1820,350869,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",346.806638718
"Hernando",1900,2678541.09183489,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",2647.52894307362
"Hernando",2100,5428461.1683831,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",5365.61044497556
"Hernando",2200,48587.2958951592,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",48.0247521832851
"Hernando",2400,172668.33273522,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",170.669178778811
"Hernando",3200,612774.22253183,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",605.679522583357
"Hernando",4100,12627645.3218954,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",12481.4424443585
"Hernando",4400,1907335.28227013,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1885.252154372
"Hernando",5200,516274.061298974,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",510.296640217255
"Hernando",5400,22670479.2408168,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",22408.0004321666
"Hernando",6110,2287478.33135611,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",2260.99390723567
"Hernando",6120,1426831.48882866,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1410.311633851
"Hernando",6410,1734801.78491846,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1714.71624985267
"Hernando",6420,199401.255910649,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",197.092588169716
"Hernando",6425,27376.4393943548,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",27.059474979047
"Hernando",6510,31916.8118657321,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",31.5472790179506
"Hernando",6600,524652.144967304,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",518.577722432872
"Hernando",7100,1838,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1.816719636
"Hernando",9113,4396578.97654815,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",4345.67538515768
"Hernando",NA,6031.03194065392,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",5.96120465284503
"Hillsborough",0,27401.5802802294,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",27.084324783745
"Hillsborough",1100,10697266.3118827,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",10573.4133625237
"Hillsborough",1200,39973403.3772887,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",39510.5913129865
"Hillsborough",1800,901770.960436603,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",891.330256256668
"Hillsborough",1820,856193.640785998,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",846.280630812978
"Hillsborough",1900,8873724.46508885,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",8770.98448323205
"Hillsborough",2100,14090146.214001,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",13927.0105011353
"Hillsborough",2200,319937.43378127,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",316.233198172951
"Hillsborough",2400,711817.473557145,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",703.5760508483
"Hillsborough",3200,2503005.09271699,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",2474.02529975352
"Hillsborough",4100,5934893.93175223,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",5866.17972981041
"Hillsborough",4400,1056108.26311554,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1043.88064164519
"Hillsborough",5200,4116849.34693038,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",4069.18446519162
"Hillsborough",5400,27077621.6947649,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",26764.116990783
"Hillsborough",6110,12800783.4522332,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",12652.5759814233
"Hillsborough",6120,1044966.59151943,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1032.86796832282
"Hillsborough",6410,4288956.47918363,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",4239.29894106764
"Hillsborough",6420,97900.1679531708,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",96.766679808609
"Hillsborough",6425,112866,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",111.559237452
"Hillsborough",6510,60577,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",59.875639494
"Hillsborough",6600,202565.258142903,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",200.219957584125
"Hillsborough",7100,1561,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1.542926742
"Hillsborough",9113,1808025.38700747,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1787.0920690767
"Hillsborough",NA,3277.69710549712,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",3.23974792840968
"Manatee",0,18852.7772031575,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",18.6344997486994
"Manatee",1100,4947509.78673338,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",4890.22751842258
"Manatee",1200,15596580.3637791,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",15416.0031563272
"Manatee",1800,544930.410417289,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",538.621206125477
"Manatee",1820,643356,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",635.907224232
"Manatee",1900,4508162.62800826,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",4455.96712110118
"Manatee",2100,19137292.6120244,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",18915.7210381623
"Manatee",2200,1862240.91455738,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",1840.67988924863
"Manatee",2400,450221,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",445.008341262
"Manatee",3200,7686937.64033496,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",7597.93827633516
"Manatee",4100,5914266.01199942,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",5845.79064011249
"Manatee",4400,513131.306472683,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",507.190272206343
"Manatee",5200,2563076.13693607,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",2533.40084142263
"Manatee",5400,22182483.9358016,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",21925.6551367929
"Manatee",6110,5856398.90246777,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",5788.593515975
"Manatee",6120,316304.639391304,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",312.642464276431
"Manatee",6410,5225927.91071006,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",5165.42211735986
"Manatee",6420,31965.9093619287,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",31.5958080633363
"Manatee",6425,56531,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",55.876484082
"Manatee",6510,36799,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",36.372941178
"Manatee",6600,79435.3642269932,"tbcmp_PD_HA_IntHi_2100","PD","HA","IntHi","2100",78.5156615799731
