"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,31263,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",30.901036986
"Citrus",1100,74552252.4725559,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",73689.0864934286
"Citrus",1200,44069252.182569,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",43559.0183807992
"Citrus",1800,979179,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",967.842065538
"Citrus",1820,2297392,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",2270.792795424
"Citrus",1900,21857295.3122247,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",21604.2315470997
"Citrus",2100,30855930.7562972,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",30498.6807900008
"Citrus",2200,28932,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",28.597025304
"Citrus",2400,457637.144609444,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",452.338621749156
"Citrus",3200,3868353.28719783,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",3823.56549283866
"Citrus",4100,101299325.928236,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",100126.482332639
"Citrus",4400,11913018.3867781,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",11775.089459896
"Citrus",5200,7657049.88285203,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",7568.39655930837
"Citrus",5400,168663241.328405,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",166710.458320305
"Citrus",6110,25463343.6878782,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",25168.52909466
"Citrus",6120,16363709.1374947,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",16174.2501131007
"Citrus",6410,25547415.1278452,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",25251.627155495
"Citrus",6420,19115163.7563341,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",18893.8483903633
"Citrus",6425,2956232.61058603,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",2922.00534942067
"Citrus",6510,571530.248022303,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",564.913070810701
"Citrus",6600,8818188.03651026,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",8716.09105542355
"Citrus",7100,4841,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",4.784950902
"Citrus",9113,54705773.138969,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",54072.389697566
"Hernando",0,34769,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",34.366444518
"Hernando",1100,44955001.8878502,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",44434.5128759927
"Hernando",1200,56864112.5125126,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",56205.7398178427
"Hernando",1800,983134.810010563,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",971.75207518026
"Hernando",1820,2193723,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",2168.324075106
"Hernando",1900,17076451.4484964,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",16878.7402936257
"Hernando",2100,33927243.134946,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",33534.4335139296
"Hernando",2200,303298.229326285,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",299.786642427146
"Hernando",2400,1078383.85539069,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",1065.89832711297
"Hernando",3200,3868932.66466464,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",3824.13816227315
"Hernando",4100,79828732.2492266,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",78904.4751872451
"Hernando",4400,11936005.265381,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",11797.8101964184
"Hernando",5200,3488763.31704444,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",3448.3704153597
"Hernando",5400,114234957.694319,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",112912.345354134
"Hernando",6110,32119937.7179386,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",31748.0530790403
"Hernando",6120,6020871.87644688,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",5951.16222186138
"Hernando",6410,11162379.873831,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",11033.1418396518
"Hernando",6420,4989793.46314663,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",4932.02163443032
"Hernando",6425,385933.162941934,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",381.464828781392
"Hernando",6510,67398.0625141338,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",66.6177277463451
"Hernando",6600,3766208.4347737,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",3722.60327351589
"Hernando",7100,15222,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",15.045759684
"Hernando",9113,33922549.5793976,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",33529.7943003673
"Hillsborough",0,163734.85479997,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",161.839132651096
"Hillsborough",1100,66852064.2169416,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",66078.0510174378
"Hillsborough",1200,249766357.447206,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",246874.562560683
"Hillsborough",1800,5632326.24596687,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",5567.11517269107
"Hillsborough",1820,5351814.30041877,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",5289.85099444852
"Hillsborough",1900,57343256.2010325,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",56679.3359807369
"Hillsborough",2100,88070192.4241871,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",87050.5157362999
"Hillsborough",2200,1997642.07777043,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",1974.513377794
"Hillsborough",2400,4448305.87080978,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",4396.80338543755
"Hillsborough",3200,16048515.9643739,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",15862.7062465384
"Hillsborough",4100,38726081.2916286,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",38277.7107224341
"Hillsborough",4400,6651347.00506067,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",6574.33770943608
"Hillsborough",5200,27005266.793712,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",26692.5998147744
"Hillsborough",5400,153058210.945401,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",151286.102979076
"Hillsborough",6110,81521329.6040004,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",80577.4756498453
"Hillsborough",6120,7324402.53710489,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",7239.60060453029
"Hillsborough",6410,27457181.6681949,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",27139.2824188405
"Hillsborough",6420,2492730.73862987,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",2463.86990213801
"Hillsborough",6425,1299214,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",1284.171700308
"Hillsborough",6510,144150,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",142.4810313
"Hillsborough",6600,1443824.2841731,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",1427.10768661094
"Hillsborough",7100,15943,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",15.758411946
"Hillsborough",9113,16946266.8179112,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",16750.0629406934
"Manatee",0,53879.4867545646,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",53.2556700569202
"Manatee",1100,30919362.6733613,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",30561.3782923292
"Manatee",1200,97418948.3342004,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",96291.031750387
"Manatee",1800,3405142.334985,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",3365.71759703054
"Manatee",1820,4020601,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",3974.050481622
"Manatee",1900,28948916.1563555,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",28613.7456050972
"Manatee",2100,119606340.10768,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",118221.537901914
"Manatee",2200,11637081.0093743,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",11502.3468854477
"Manatee",2400,2813242,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",2780.670284124
"Manatee",3200,48305031.2728886,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",47745.7556208111
"Manatee",4100,37479619.1253543,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",37045.6800951209
"Manatee",4400,3206983.49775432,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",3169.85304281732
"Manatee",5200,16605185.4476192,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",16412.9306105066
"Manatee",5400,125246785.558075,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",123796.678274883
"Manatee",6110,38152146.6240817,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",37710.4210704681
"Manatee",6120,5032550.84042982,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",4974.28396679932
"Manatee",6410,32840696.7215136,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",32460.4671348719
"Manatee",6420,1453893.02763987,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",1437.05985416585
"Manatee",6425,1300533,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",1285.475428926
"Manatee",6510,205205,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",202.82913651
"Manatee",6600,1053434,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",1041.237341148
"Manatee",7100,12083,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",11.943103026
"Manatee",9113,14489213.3920943,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",14321.4572794406
"Pasco",0,120260.421755075,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",118.868046591994
"Pasco",1100,55235550.1854696,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",54596.0329854222
"Pasco",1200,98893039.5322909,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",97748.055920586
"Pasco",1800,2283371.18998937,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",2256.93431835167
"Pasco",1820,3003427.31661553,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",2968.65363514376
"Pasco",1900,22679969.6824859,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",22417.3809935021
"Pasco",2100,80104039.0081363,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",79176.5944445001
"Pasco",2200,1292548.99564898,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",1277.58386337736
"Pasco",2400,582572.764420897,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",575.827736954432
"Pasco",3200,13792953.1756014,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",13633.2583637343
"Pasco",4100,63159832.3979075,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",62428.5678584045
"Pasco",4400,18555414.7638743,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",18340.5801717382
"Pasco",5200,15777063.5864705,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",15594.3967442664
"Pasco",5400,143288469.442091,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",141629.47554289
"Pasco",6110,71562141.7434358,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",70733.5952663303
"Pasco",6120,2433210.95461054,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",2405.03923817806
"Pasco",6410,39876689.8312357,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",39414.9975163696
"Pasco",6420,3308063.92557584,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",3269.76316144552
"Pasco",6425,156194.845225224,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",154.386421307206
"Pasco",6510,18210.1291806689,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",17.9992923050151
"Pasco",6600,700490.143303231,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",692.379868424067
"Pasco",7100,30699.4582728532,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",30.3440199449701
"Pasco",9113,20089654.2420957,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",19857.0562252808
"Pinellas",0,290340.236690465,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",286.978677430063
"Pinellas",1100,4634433.20482692,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",4580.77573718143
"Pinellas",1200,131342159.419883,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",129821.47989812
"Pinellas",1800,6794473.75403323,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",6715.80733690903
"Pinellas",1820,4412915.38296533,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",4361.82264866136
"Pinellas",1900,3064880.27024041,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",3029.39508647156
"Pinellas",2100,593801.090640074,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",586.926061612644
"Pinellas",2400,47940,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",47.38495068
"Pinellas",3200,688907.308691254,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",680.931139871227
"Pinellas",4100,6390794.77166008,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",6316.8021497938
"Pinellas",4400,231350,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",228.6714297
"Pinellas",5200,4588487.71134429,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",4535.36220062235
"Pinellas",5400,348247193.102624,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",344215.187100882
"Pinellas",6110,8399044.00434808,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",8301.79987286574
"Pinellas",6120,7974788.59894786,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",7882.45649654924
"Pinellas",6410,2400977.25179713,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",2373.17873717583
"Pinellas",6420,833455.532831566,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",823.805784672442
"Pinellas",6425,172884.154774941,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",170.882502030957
"Pinellas",6510,35234.8708194015,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",34.8269214850545
"Pinellas",6600,719938.437157956,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",711.602989932541
"Pinellas",7100,132050.541727192,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",130.521660555075
"Pinellas",9113,29272166.8940306,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",28933.2537457315
"Sarasota",0,11856,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",11.718731232
"Sarasota",1100,27479308.3240164,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",27161.1528922409
"Sarasota",1200,100749666.396291,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",99583.1867587547
"Sarasota",1800,4045949.55020796,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",3999.10554631565
"Sarasota",1820,5293425,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",5232.13772535
"Sarasota",1900,18744599.3979823,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",18527.5744261525
"Sarasota",2100,38381183.8139731,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",37936.8064677749
"Sarasota",2200,1372724.98013059,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",1356.83157031064
"Sarasota",2400,1123781,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",1110.769863582
"Sarasota",3200,33941580.2478626,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",33548.6046317528
"Sarasota",4100,55033282.8120781,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",54396.1074636798
"Sarasota",4400,810789.623792232,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",801.402301527966
"Sarasota",5200,13552421.8080637,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",13395.51186837
"Sarasota",5400,254575277.997608,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",251627.805428952
"Sarasota",6110,21521327.8928931,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",21272.1539585492
"Sarasota",6120,883583.205113941,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",873.353078765132
"Sarasota",6410,46746973.9969126,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",46205.7375319764
"Sarasota",6420,948796.61978104,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",937.811452517216
"Sarasota",6425,606723.491573036,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",599.698846987603
"Sarasota",6510,87972.7757766843,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",86.9542269787418
"Sarasota",6600,677585.714997624,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",669.740627589381
"Sarasota",9113,5077950.63020787,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",5019.15811781132
"Sarasota",NA,0.000136239468702115,"tbcmp_PD_HA_IntHigh_2050","PD","HA","IntHigh","2050",1.34662088133482e-07
