"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,49945.9030659702,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",308.547309157429
"Citrus",1100,11929100.954375,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",73693.5719287758
"Citrus",1200,7053235.86935357,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",43572.2815035947
"Citrus",1800,156956,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",969.61609428
"Citrus",1820,367630,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",2271.0821169
"Citrus",1900,3504791.07761196,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",21651.302504788
"Citrus",2100,4936642.790273,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",30496.7526004742
"Citrus",2200,4608,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",28.46651904
"Citrus",2400,73351.6672647485,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",453.139460244729
"Citrus",3200,620750.211321066,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",3834.76512796336
"Citrus",4100,16242169.5681234,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",100338.113989126
"Citrus",4400,1911950.73234572,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",11811.3242026609
"Citrus",5200,1228068.73092109,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",7586.55423420008
"Citrus",5400,26477205.4020261,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",163566.378407719
"Citrus",6110,4490102.91584591,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",27738.1944760171
"Citrus",6120,1274691.0576541,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",7874.56971849568
"Citrus",6410,4157778.58607337,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",25685.2177266844
"Citrus",6420,4138450.79709428,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",25565.8177976535
"Citrus",6425,315050.589965385,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",1946.26597608786
"Citrus",6510,34545.8127394058,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",213.411249153335
"Citrus",6600,1355163.93992676,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",8371.70141020976
"Citrus",7100,787,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",4.86179481
"Citrus",9113,9209233.69414245,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",56891.2383459452
"Hernando",0,13051.0300884247,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",80.624435005155
"Hernando",1100,7193580.3981738,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",44439.2780751704
"Hernando",1200,9101867.85214827,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",56227.9718994667
"Hernando",1800,157326.839154121,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",971.90700136367
"Hernando",1820,350869,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",2167.53886047
"Hernando",1900,2734690.04140924,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",16893.903240511
"Hernando",2100,5428461.1683831,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",33535.0245676385
"Hernando",2200,48587.2958951592,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",300.154336740813
"Hernando",2400,172668.33273522,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",1066.68107235508
"Hernando",3200,619008.22253183,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",3824.00376575931
"Hernando",4100,12778231.8488663,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",78939.1884165118
"Hernando",4400,1909694.28227013,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",11797.3846889804
"Hernando",5200,569944.061298974,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",3520.90353140238
"Hernando",5400,17868832.0458334,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",110387.032911302
"Hernando",6110,5395171.43390229,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",33329.3729052178
"Hernando",6120,726281.230998214,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",4486.6967210515
"Hernando",6410,1789499.81615132,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",11054.8677492509
"Hernando",6420,886601.92748432,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",5477.09866528496
"Hernando",6425,34214.1701346451,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",211.362483848887
"Hernando",6510,2318.8321139589,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",14.3248868321559
"Hernando",6600,489873.953825466,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",3026.26003337082
"Hernando",7100,2499,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",15.43789737
"Hernando",9113,5836482.58761732,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",36055.6299277424
"Hernando",NA,6031.03194065392,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",37.2574838475419
"Hillsborough",0,53990.4143749103,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",333.532803554877
"Hillsborough",1100,10697266.3118827,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",66083.7532862759
"Hillsborough",1200,39973403.3772887,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",246940.89590564
"Hillsborough",1800,901770.960436603,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",5570.80733832197
"Hillsborough",1820,856193.640785998,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",5289.24752112881
"Hillsborough",1900,9193393.82548008,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",56793.3854981005
"Hillsborough",2100,14090146.214001,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",87043.7099559992
"Hillsborough",2200,319937.43378127,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",1976.45508905019
"Hillsborough",2400,711817.473557145,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",4397.34497917082
"Hillsborough",3200,2571479.52872974,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",15885.6490810667
"Hillsborough",4100,6216626.46449143,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",38404.0181458362
"Hillsborough",4400,1064487.26311554,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",6576.00845124046
"Hillsborough",5200,4345323.34693038,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",26843.7998676975
"Hillsborough",5400,24366414.0438361,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",150526.690389623
"Hillsborough",6110,13072057.2409078,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",80754.3329731495
"Hillsborough",6120,1104342.08800291,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",6822.21681310939
"Hillsborough",6410,4404604.47918363,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",27210.0167687392
"Hillsborough",6420,441702.453359356,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",2728.67432694636
"Hillsborough",6425,184357,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",1138.88933391
"Hillsborough",6510,24089,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",148.81292907
"Hillsborough",6600,206149.132879727,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",1273.51306775179
"Hillsborough",7100,2601,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",16.06801563
"Hillsborough",9113,2756188.42939741,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",17026.7123270983
"Hillsborough",NA,3277.69710549712,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",20.2483999698322
"Manatee",0,33469.3718611784,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",206.761395690772
"Manatee",1100,4947509.78673338,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",30563.8848838177
"Manatee",1200,15596580.3637791,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",96349.9027526924
"Manatee",1800,544930.410417289,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",3366.37845130615
"Manatee",1820,643356,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",3974.41532628
"Manatee",1900,4643114.71379086,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",28683.4447493558
"Manatee",2100,19137292.6120244,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",118223.11295882
"Manatee",2200,1862240.91455738,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",11504.2353409971
"Manatee",2400,450221,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",2781.29875623
"Manatee",3200,7733145.64033496,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",47772.5125021025
"Manatee",4100,6003101.01199942,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",37084.936904758
"Manatee",4400,513131.306472683,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",3169.93535280484
"Manatee",5200,2666169.13693607,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",16470.6064454104
"Manatee",5400,19893444.2049944,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",122894.3377241
"Manatee",6110,6140379.0175529,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",37932.9896302053
"Manatee",6120,752300.197303861,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",4647.43226787025
"Manatee",6410,5258979.91071006,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",32488.0320657998
"Manatee",6420,268975.963438925,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",1661.63398101921
"Manatee",6425,172451,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",1065.33847113
"Manatee",6510,22840,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",141.0970692
"Manatee",6600,155794.124134175,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",962.438455075006
"Manatee",7100,1874,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",11.57687862
"Manatee",9113,2431354.54024284,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",15020.0087484404
"Manatee",NA,418,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",2.58224934
"Pasco",0,17338.8020383054,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",107.112703635897
"Pasco",1100,8838087.23041786,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",54598.4328172463
"Pasco",1200,15826860.0153503,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",97772.4852366285
"Pasco",1800,365371.160845821,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",2257.12784437597
"Pasco",1820,480426.463713959,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",2967.89693503326
"Pasco",1900,3629147.41640134,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",22419.5299539834
"Pasco",2100,12817016.2974744,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",79178.7843897669
"Pasco",2200,206847.270323523,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",1277.8259025687
"Pasco",2400,93185.7875913946,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",575.667316998227
"Pasco",3200,2209130.12873407,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",13647.1885571714
"Pasco",4100,10128726.7741247,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",62571.5263816361
"Pasco",4400,2968811.24321669,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",18340.2174004327
"Pasco",5200,2527417.40583778,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",15613.4495888256
"Pasco",5400,22652676.9237837,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",139939.856544674
"Pasco",6110,11467811.2996029,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",70843.8951187659
"Pasco",6120,291847.728898939,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",1802.92728547795
"Pasco",6410,6383204.89752047,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",39433.0780710694
"Pasco",6420,609836.575336497,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",3767.34472289601
"Pasco",6425,20748.0543353707,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",128.173802903816
"Pasco",6510,1752.11314881966,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",10.8239067515428
"Pasco",6600,100863.094551002,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",623.094878791104
"Pasco",7100,4880.74098319933,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",30.1514119200417
"Pasco",9113,3469025.38766121,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",21430.3553055775
"Pinellas",0,131896.535339334,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",814.807993608327
"Pinellas",1100,741491.277901587,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",4580.65876310318
"Pinellas",1200,21037041.8641692,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",129959.060931348
"Pinellas",1800,1090370.03956355,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",6735.90266750899
"Pinellas",1820,706237.89549983,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",4362.87641037662
"Pinellas",1900,494756.019003775,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",3056.41962567829
"Pinellas",2100,95027.2794861191,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",587.043372571834
"Pinellas",2400,7652,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",47.27122476
"Pinellas",3200,118014.824093398,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",729.051917764097
"Pinellas",4100,1033724.59816866,"tbcmp_PD_HA_IntLow_2050","PD","HA","IntLow","2050",6385.96808938465
