"id","value","count","filename","land_policy","accretion","slr_scenario","yr","acres"
"Citrus",0,45873.8739911225,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",283.391820183778
"Citrus",1100,11929100.954375,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",73693.5719287758
"Citrus",1200,7053235.86935357,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",43572.2815035947
"Citrus",1800,156956,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",969.61609428
"Citrus",1820,367630,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",2271.0821169
"Citrus",1900,3463427.90112744,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",21395.7761048419
"Citrus",2100,4936642.790273,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",30496.7526004742
"Citrus",2200,4608,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",28.46651904
"Citrus",2400,73351.6672647485,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",453.139460244729
"Citrus",3200,608108.211321066,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",3756.66752950336
"Citrus",4100,16057687.9572562,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",99198.4548553844
"Citrus",4400,1881248.73234572,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",11621.6586064009
"Citrus",5200,1214489.74891777,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",7502.66830760688
"Citrus",5400,28545949.0405472,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",176346.311171356
"Citrus",6110,3140688.05144196,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",19402.0087272294
"Citrus",6120,4346553.67524647,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",26851.4003808129
"Citrus",6410,3994634.58607337,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",24677.3744579644
"Citrus",6420,1987230.63897001,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",12276.3756122203
"Citrus",6425,540841.531424955,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",3341.11886977675
"Citrus",6510,261517.023766886,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",1615.55541153303
"Citrus",6600,962853.136809305,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",5948.15042354727
"Citrus",7100,694,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",4.28727522
"Citrus",9113,7958887.90961752,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",49167.0647170905
"Hernando",0,12730.0300884247,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",78.641415775155
"Hernando",1100,7193580.3981738,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",44439.2780751704
"Hernando",1200,9101867.85214827,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",56227.9718994667
"Hernando",1800,157326.839154121,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",971.90700136367
"Hernando",1820,350869,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",2167.53886047
"Hernando",1900,2720716.04140924,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",16807.577038891
"Hernando",2100,5428461.1683831,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",33535.0245676385
"Hernando",2200,48587.2958951592,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",300.154336740813
"Hernando",2400,172668.33273522,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",1066.68107235508
"Hernando",3200,617969.22253183,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",3817.58520818931
"Hernando",4100,12747544.8383142,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",78749.6154195147
"Hernando",4400,1909694.28227013,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",11797.3846889804
"Hernando",5200,534489.061298974,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",3301.87565975238
"Hernando",5400,19466578.8302207,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",120257.321378936
"Hernando",6110,4320396.09377967,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",26689.8085208161
"Hernando",6120,1537212.40850949,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",9496.32949118049
"Hernando",6410,1770340.81615132,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",10936.5105360809
"Hernando",6420,696474.473685914,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",4302.56160287631
"Hernando",6425,102811.839657166,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",635.133505021296
"Hernando",6510,43801.8383043115,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",270.591550363864
"Hernando",6600,709940.092340169,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",4385.7472126434
"Hernando",7100,2438,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",15.06106194
"Hernando",9113,4463256.61596436,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",27572.3479684799
"Hernando",NA,6031.03194065392,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",37.2574838475419
"Hillsborough",0,36816.4518584237,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",227.438417494154
"Hillsborough",1100,10697266.3118827,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",66083.7532862759
"Hillsborough",1200,39973403.3772887,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",246940.89590564
"Hillsborough",1800,901770.960436603,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",5570.80733832197
"Hillsborough",1820,856193.640785998,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",5289.24752112881
"Hillsborough",1900,9102540.19628558,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",56232.1253927797
"Hillsborough",2100,14090146.214001,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",87043.7099559992
"Hillsborough",2200,319937.43378127,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",1976.45508905019
"Hillsborough",2400,711817.473557145,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",4397.34497917082
"Hillsborough",3200,2553389.53675227,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",15773.8958039269
"Hillsborough",4100,6106893.25105176,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",37726.1269544949
"Hillsborough",4400,1062679.26311554,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",6564.83929620046
"Hillsborough",5200,4221484.34693038,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",26078.7683461275
"Hillsborough",5400,24918209.5839724,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",153935.479072236
"Hillsborough",6110,12951429.9997774,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",80009.142509525
"Hillsborough",6120,1315403.06977281,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",8126.0734659206
"Hillsborough",6410,4355958.47918363,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",26909.4997797591
"Hillsborough",6420,335419.653963864,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",2072.09851691679
"Hillsborough",6425,258361,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",1596.05866443
"Hillsborough",6510,39456,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",243.74456928
"Hillsborough",6600,283606.831827741,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",1752.01807250401
"Hillsborough",7100,2384,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",14.72746992
"Hillsborough",9113,2463774.04619715,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",15220.2844610089
"Hillsborough",NA,3277.69710549712,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",20.2483999698322
"Manatee",0,27687.3368471265,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",171.042122726914
"Manatee",1100,4947509.78673338,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",30563.8848838177
"Manatee",1200,15596580.3637791,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",96349.9027526924
"Manatee",1800,544930.410417289,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",3366.37845130615
"Manatee",1820,643356,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",3974.41532628
"Manatee",1900,4592566.34298536,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",28371.1756174166
"Manatee",2100,19137292.6120244,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",118223.11295882
"Manatee",2200,1862240.91455738,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",11504.2353409971
"Manatee",2400,450221,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",2781.29875623
"Manatee",3200,7707081.64033496,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",47611.4987537825
"Manatee",4100,5971399.01199942,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",36889.093678498
"Manatee",4400,513131.306472683,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",3169.93535280484
"Manatee",5200,2627126.13693607,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",16229.4132373204
"Manatee",5400,20419289.9007625,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",126142.817869648
"Manatee",6110,6004801.35492359,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",37095.4409942166
"Manatee",6120,833252.694537681,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",5147.52684335681
"Manatee",6410,5244635.91071006,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",32399.4201410798
"Manatee",6420,153475.065209773,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",948.112167091852
"Manatee",6425,272759,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",1685.00418117
"Manatee",6510,70892,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",437.94454596
"Manatee",6600,162893.033434808,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",1006.29289013787
"Manatee",7100,1720,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",10.6255236
"Manatee",9113,2087813.40461831,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",12897.7387227722
"Manatee",NA,418,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",2.58224934
"Pasco",0,13311.3050614921,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",82.2323174870257
"Pasco",1100,8838087.23041786,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",54598.4328172463
"Pasco",1200,15826860.0153503,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",97772.4852366285
"Pasco",1800,365371.160845821,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",2257.12784437597
"Pasco",1820,480426.463713959,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",2967.89693503326
"Pasco",1900,3623195.87919888,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",22382.7635592153
"Pasco",2100,12817016.2974744,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",79178.7843897669
"Pasco",2200,206847.270323523,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",1277.8259025687
"Pasco",2400,93185.7875913946,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",575.667316998227
"Pasco",3200,2196029.80242191,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",13566.2595883357
"Pasco",4100,10025428.7846769,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",61933.3896230833
"Pasco",4400,2968628.24321669,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",18339.0868941427
"Pasco",5200,2510453.12817529,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",15508.6505582095
"Pasco",5400,23880608.6226924,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",147525.564245803
"Pasco",6110,11389902.633381,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",70362.6042050535
"Pasco",6120,614018.65608527,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",3793.18007039204
"Pasco",6410,6361373.88606091,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",39298.2141597464
"Pasco",6420,383383.784305832,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",2368.40316744124
"Pasco",6425,26201.4836667925,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",161.863071544487
"Pasco",6510,8154.1579093085,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",50.3733705252815
"Pasco",6600,144661.669654041,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",893.666270304894
"Pasco",7100,4667.74098319933,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",28.8355767300417
"Pasco",9113,2333198.80868511,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",14413.6389564974
"Pinellas",0,56318.029846698,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",347.911950721857
"Pinellas",1100,741491.277901587,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",4580.65876310318
"Pinellas",1200,21037041.8641692,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",129959.060931348
"Pinellas",1800,1090370.03956355,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",6735.90266750899
"Pinellas",1820,706237.89549983,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",4362.87641037662
"Pinellas",1900,469034.556206193,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",2897.52194545607
"Pinellas",2100,95027.2794861191,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",587.043372571834
"Pinellas",2400,7652,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",47.27122476
"Pinellas",3200,76402.1423828598,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",471.984166848626
"Pinellas",4100,974102.811608302,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",6017.64675207579
"Pinellas",4400,37031,"tbcmp_PD_HA_Inter_2080","PD","HA","Inter","2080",228.76381653
