id,value,count,filename,land_policy,accretion,slr_scenario,yr,acres
Citrus,1100,11930413.09,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,73701.67784
Citrus,1200,7053075.017,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,43571.28782
Citrus,1800,156923.9537,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,969.4181238
Citrus,1820,367390,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,2269.599486
Citrus,1900,3535116.887,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,21838.64413
Citrus,2100,4937106.929,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,30499.61988
Citrus,2200,4612,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,28.49122956
Citrus,2400,73412.66726,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,453.5162957
Citrus,3200,621978.5984,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,3842.353649
Citrus,4100,16320709.91,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,100823.3072
Citrus,4400,1923260.412,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,11881.19122
Citrus,5200,1310026.722,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,8092.860376
Citrus,5400,10782466.37,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,66610.08769
Citrus,6110,6580315.81,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,40650.75636
Citrus,6120,4359,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,26.92828917
Citrus,6410,4306197.522,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,26602.095
Citrus,6420,4642845.56,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,28681.78202
Citrus,6510,1109607.307,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,6854.743386
Citrus,6600,2389,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,14.75835807
Citrus,7100,797,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,4.92357111
Citrus,9113,23869207.54,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,147455.1326
Hernando,0,0.528549239,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,0.003265182
Hernando,1100,7194138.561,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,44442.7262
Hernando,1200,9103722.509,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,56239.42928
Hernando,1800,157252.8392,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,971.4498567
Hernando,1820,350828,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,2167.285578
Hernando,1900,2738535.689,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,16917.66023
Hernando,2100,5428387.112,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,33534.56707
Hernando,2200,48655.81673,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,300.5776331
Hernando,2400,172705.3327,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,1066.909645
Hernando,3200,619023.8354,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,3824.100216
Hernando,4100,12789009.59,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,79005.76932
Hernando,4400,1910244.586,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,11800.78426
Hernando,5200,596668.3572,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,3685.996343
Hernando,5400,401757.4544,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,2481.908903
Hernando,6110,5969487.165,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,36877.283
Hernando,6120,16262,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,100.4606191
Hernando,6410,1798645.231,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,11111.36474
Hernando,6420,1472022.322,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,9093.609256
Hernando,6510,302663.552,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,1869.743439
Hernando,6600,25062,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,154.8237631
Hernando,7100,2530,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,15.6294039
Hernando,9113,23018183.92,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,142197.8235
Hillsborough,1100,10696314.82,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,66077.87534
Hillsborough,1200,39972188.22,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,246933.3891
Hillsborough,1800,901681.1907,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,5570.252774
Hillsborough,1820,856368.6685,tbcmp_hem_base_5m,baseline,baseline,baseline,2025,5290.328778
